id,name,artists,release_date,popularity,duration_ms,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0Lxhgpqu3M6iJcGraRFs0L,Lola,Maraveyas,2016-12-30,22,234733,"entehno, greek swing",0.655,0.777,8,-4.943,1,0.0337,0.0661,0.000119,0.196,0.934,124.979
11X4Gw3T4hoktVruLgTnm1,Heartbeats,José González,2003-07-02,1,160240,"chamber pop, gothenburg indie, indie folk, stomp and holler, swedish indie folk, swedish indie pop, swedish singer-songwriter",0.554,0.15,3,-16.746,1,0.0338,0.974,0.735,0.0698,0.314,87.956
3kF1mM6JNSFivfrUYbI1DD,Liar,"Gentle Bones, Linying",2016-06-03,18,196671,singaporean pop,0.69,0.427,0,-8.378,1,0.129,0.512,0,0.168,0.227,135.94
52WQO1jYTvmAz7ZajKam8y,Dreams,Nuages,2016-11-10,0,332382,,0.478,0.288,0,-15.287,1,0.0312,0.79,0.887,0.118,0.0392,139.979
7jDe24vXWUNX8Jl2hZHrIS,High Hopes,Kodaline,2013-06-14,0,230266,"irish pop, modern rock, neo mellow",0.488,0.487,4,-6.371,1,0.0305,0.577,0,0.193,0.219,77.278
5baXzOMmD0sf26hayRqfqI,Magnetised - Acoustic,Tom Odell,2016-04-22,50,292186,chill pop,0.487,0.0746,10,-12.952,0,0.0327,0.952,0,0.108,0.123,106.328
0UxmipSk5bYuvrqHDiCRYO,The St. Louis Blues,Hugh Laurie,2013-04-29,30,263160,comic,0.547,0.423,0,-9.37,0,0.038,0.679,0.0635,0.11,0.35,100.003
2s4BsyV3KhhrtsdtNfzoqb,Back To Black,Amy Winehouse,2006-01-01,0,240440,"british soul, neo soul",0.49,0.725,10,-3.304,1,0.0392,0.123,2.68e-05,0.0983,0.335,123.28
7Maw2TdttKzHOuJwg4edfj,Your Time,"Nick Murphy, KAYTRANADA",2017-05-10,0,244080,"australian electropop, downtempo, indietronica",0.474,0.637,11,-7.271,0,0.0913,0.0436,0,0.143,0.251,82.78
5lx50e5arP6bExEbGsgfsf,No Witness,LP,2017-06-09,0,208257,"la pop, women's music",0.59,0.765,5,-6.012,1,0.036,0.136,0,0.0991,0.453,78.519
7Cia4WzapwjMr0NUQF8vf3,Oceans,Seafret,2015-01-21,46,216186,folk-pop,0.404,0.48,9,-8.906,0,0.0303,0.274,8.63e-06,0.132,0.2,129.162
11BYlcsBBVH2YaOZ8NBLDF,Thelo Na Se Xeperaso,"Fivos Delivorias, Marina Satti & Fones",2018-06-08,0,138524,entehno,0.493,0.159,1,-12.954,0,0.0665,0.916,0,0.186,0.419,105.09
1XcAJkpQVrveFPZKo152Is,Wild Horses - Acoustic,Bishop Briggs,2017-01-06,0,188906,modern alternative rock,0.713,0.264,8,-10.54,1,0.0346,0.66,0,0.111,0.291,129.922
32YHCNItnCdiYaPbw0uTo8,"I Put A Spell On You (Fifty Shades of Grey) - From ""Fifty Shades Of Grey"" Soundtrack",Annie Lennox,2015-02-09,62,210520,"new romantic, new wave, new wave pop, singer-songwriter, soft rock, synthpop",0.563,0.383,2,-7.544,0,0.0322,0.283,2.59e-06,0.127,0.358,173.98
